id,title,city,country,company,size_of_company,company_field,date_of_publication,number_of_applicants,type_of_employment,skills,vacancy
504,Marketing Analyst (Data Analytics and BI),Bucharest,Romania,Samsung Electronics,"10,001+",Computers and Electronics Manufacturing,2023-05-09,155.0,Hybrid,confluence,data analyst
504,Marketing Analyst (Data Analytics and BI),Bucharest,Romania,Samsung Electronics,"10,001+",Computers and Electronics Manufacturing,2023-05-09,155.0,Hybrid,data warehouse,data analyst
504,Marketing Analyst (Data Analytics and BI),Bucharest,Romania,Samsung Electronics,"10,001+",Computers and Electronics Manufacturing,2023-05-09,155.0,Hybrid,domo,data analyst
504,Marketing Analyst (Data Analytics and BI),Bucharest,Romania,Samsung Electronics,"10,001+",Computers and Electronics Manufacturing,2023-05-09,155.0,Hybrid,excel,data analyst
504,Marketing Analyst (Data Analytics and BI),Bucharest,Romania,Samsung Electronics,"10,001+",Computers and Electronics Manufacturing,2023-05-09,155.0,Hybrid,github,data analyst
504,Marketing Analyst (Data Analytics and BI),Bucharest,Romania,Samsung Electronics,"10,001+",Computers and Electronics Manufacturing,2023-05-09,155.0,Hybrid,google analytics,data analyst
504,Marketing Analyst (Data Analytics and BI),Bucharest,Romania,Samsung Electronics,"10,001+",Computers and Electronics Manufacturing,2023-05-09,155.0,Hybrid,jira,data analyst
504,Marketing Analyst (Data Analytics and BI),Bucharest,Romania,Samsung Electronics,"10,001+",Computers and Electronics Manufacturing,2023-05-09,155.0,Hybrid,s3,data analyst
504,Marketing Analyst (Data Analytics and BI),Bucharest,Romania,Samsung Electronics,"10,001+",Computers and Electronics Manufacturing,2023-05-09,155.0,Hybrid,statistics,data analyst
504,Marketing Analyst (Data Analytics and BI),Bucharest,Romania,Samsung Electronics,"10,001+",Computers and Electronics Manufacturing,2023-05-09,155.0,Hybrid,tableau,data analyst
504,Marketing Analyst (Data Analytics and BI),Bucharest,Romania,Samsung Electronics,"10,001+",Computers and Electronics Manufacturing,2023-05-09,155.0,Hybrid,анализ данных,data analyst
504,Marketing Analyst (Data Analytics and BI),Bucharest,Romania,Samsung Electronics,"10,001+",Computers and Electronics Manufacturing,2023-05-09,155.0,Hybrid,powerpoint,data analyst
505,BI Analyst (Pricing),Madrid,Spain,Makro España,"1,001-5,000",Wholesale,2023-05-02,222.0,Hybrid,big query,analyst
505,BI Analyst (Pricing),Madrid,Spain,Makro España,"1,001-5,000",Wholesale,2023-05-02,222.0,Hybrid,elt,analyst
505,BI Analyst (Pricing),Madrid,Spain,Makro España,"1,001-5,000",Wholesale,2023-05-02,222.0,Hybrid,etl,analyst
505,BI Analyst (Pricing),Madrid,Spain,Makro España,"1,001-5,000",Wholesale,2023-05-02,222.0,Hybrid,microstrategy,analyst
505,BI Analyst (Pricing),Madrid,Spain,Makro España,"1,001-5,000",Wholesale,2023-05-02,222.0,Hybrid,oracle,analyst
505,BI Analyst (Pricing),Madrid,Spain,Makro España,"1,001-5,000",Wholesale,2023-05-02,222.0,Hybrid,python,analyst
505,BI Analyst (Pricing),Madrid,Spain,Makro España,"1,001-5,000",Wholesale,2023-05-02,222.0,Hybrid, r ,analyst
505,BI Analyst (Pricing),Madrid,Spain,Makro España,"1,001-5,000",Wholesale,2023-05-02,222.0,Hybrid,talend,analyst
505,BI Analyst (Pricing),Madrid,Spain,Makro España,"1,001-5,000",Wholesale,2023-05-02,222.0,Hybrid,анализ бизнес-данных,analyst
505,BI Analyst (Pricing),Madrid,Spain,Makro España,"1,001-5,000",Wholesale,2023-05-02,222.0,Hybrid,еда и напитки,analyst
506,Data Visualization,Lisbon,Portugal,Celfocus,"1,001-5,000",IT Services and IT Consulting,2023-05-09,56.0,, ai,другое
